Time	MeasID	DPID	Channel	Ax	Ay	Az	Bx	By	Bz	Mx	My	Mz	Nx	Ny	Nz	Fx	Fy	Fz	Note	ImA	UoutV	UV	SPV	RO	Var	RhoaOm	Cycles	PintV	PextV	TintC	Latitude	Longitude
2017-07-01 13:45:50	719	1423	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		3.71576	500.742	2.12965	0	573.141	1.39828	3601.15	2	0.0088623	13.6479	29.4615	0	0
2017-07-01 13:45:11	708	1424	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.95529	468.163	147.175	0	14783.6	5.43689	92887.8	2	0.0088623	13.32	30.1112	0	0
2017-07-01 13:45:21	711	1425	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		8.72747	452.785	185.254	0	21226.5	5.06321	133370	2	0.0088623	13.5682	29.9813	0	0
2017-07-01 14:05:43	732	1441	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		9.46735	417.563	118.614	0	12528.7	1.26254	78720.2	2	0.0088623	13.6745	29.7214	0	0
2017-07-01 14:05:18	725	1442	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.95346	449.043	2.69815	0	271.076	2.76643	1703.22	2	0.0088623	13.7454	30.2411	0	0
2017-07-01 14:05:04	721	1443	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.72782	397.578	52.2441	0	30237	2.45446	189984	2	0.0088623	13.7986	30.2411	0	0
2017-07-01 14:05:07	722	1444	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.072	162.117	0.459119	0	9.16917	12.7223	57.6116	2	0.0088623	13.5682	30.3711	0	0
2017-07-01 14:05:36	730	1445	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0779	57.5068	19.1305	0	382.016	2.66776	2400.27	2	0.0088623	13.5859	29.8513	0	0
2017-07-01 14:05:29	728	1446	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.9555	462.433	227.62	0	22863.7	4.68562	143657	2	0.0088623	13.6036	29.9813	0	0
2017-07-01 14:05:46	733	1447	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		6.1584	479.815	3.81859	0	620.062	1.21727	3895.96	2	0.0088623	13.5859	29.5914	0	0
2017-07-01 14:05:25	727	1448	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		7.39416	427.971	1.15315	0	155.955	4.4439	979.892	2	0.0088623	13.7366	29.9813	0	0
2017-07-01 14:05:15	724	1450	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.82963	484.066	87.9398	0	8946.4	21.7691	56211.9	2	0.0088623	13.6036	30.2411	0	0
2017-07-01 14:05:53	735	1451	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		3.4985	482.751	4.03802	0	1154.22	8.72256	7252.15	2	0.0088623	13.6745	29.5914	0	0
2017-07-01 14:05:33	729	1452	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.96995	419.617	6.76457e-05	0	0.00678496	1.40492	0.0426312	2	0.0088623	13.6036	29.7214	0	0
2017-07-01 14:05:50	734	1453	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		3.62593	509.421	2.3151	0	638.484	0.872899	4011.71	2	0.0088623	13.71	29.5914	0	0
2017-07-01 14:05:11	723	1454	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.95878	455.205	144.682	0	14528.1	4.01605	91282.7	2	0.0088623	13.2491	30.3711	0	0
2017-07-01 14:05:22	726	1455	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		8.25634	447.878	171.797	0	20807.9	5.09285	130740	2	0.0088623	13.5948	30.1112	0	0
2017-07-01 14:25:44	747	1471	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		9.04725	417.967	122.905	0	13584.8	0.19174	85355.6	2	0.0088623	13.6391	29.4615	0	0
2017-07-01 14:25:18	740	1472	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.96257	440.949	2.65588	0	266.586	0.778269	1675.01	2	0.0088623	13.5682	29.9813	0	0
2017-07-01 14:25:03	736	1473	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.74264	404.506	47.3109	0	27149	1.04791	170582	2	0.0088623	13.7809	29.9813	0	0
2017-07-01 14:25:07	737	1474	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0643	121.02	0.439105	0	8.77083	21.9487	55.1088	2	0.0088623	13.5682	30.1112	0	0
2017-07-01 14:25:36	745	1475	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.075	57.1358	18.6973	0	373.387	1.20127	2346.06	2	0.0088623	13.71	29.5914	0	0
2017-07-01 14:25:29	743	1476	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.95368	473.845	224.723	0	22576.9	4.42357	141855	2	0.0088623	13.6745	29.7214	0	0
2017-07-01 14:25:47	748	1477	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		5.18176	452.733	3.23355	0	624.026	4.45073	3920.87	2	0.0088623	13.71	29.4615	0	0
2017-07-01 14:25:25	742	1478	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		5.8922	407.875	1.11339	0	188.959	5.08919	1187.27	2	0.0088623	13.6036	29.8513	0	0
2017-07-01 14:25:15	739	1480	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.53758	478.866	76.9782	0	8071.04	15.5941	50711.9	2	0.0088623	13.6923	29.9813	0	0
